name,role,appearances
Shah Rukh Khan,Actor,30
Boman Irani,Actor,25
Anupam Kher,Actor,25
Kareena Kapoor Khan,Actor,25
Paresh Rawal,Actor,22
Takahiro Sakurai,Actor,22
Nawazuddin Siddiqui,Actor,21
Priyanka Chopra Jonas,Actor,21
Fred Tatasciore,Actor,19
Naseeruddin Shah,Actor,19
Amitabh Bachchan,Actor,19
Junichi Suwabe,Actor,19
Fred Armisen,Actor,18
Nassar,Actor,18
Yuki Kaji,Actor,18
Johnny Lever,Actor,18
Aamir Khan,Actor,18
Om Puri,Actor,18
Ajay Devgn,Actor,17
Kenjiro Tsuda,Actor,17
Akshay Kumar,Actor,17
John Cleese,Actor,16
Rani Mukerji,Actor,16
David Spade,Actor,15
Kari Wahlgren,Actor,15
John Abraham,Actor,15
Maaya Sakamoto,Actor,15
Donald Trump,Actor,15
Vincent Tong,Actor,15
Eric Idle,Actor,15
Michael Palin,Actor,15
Sharat Saxena,Actor,15
Kevin Michael Richardson,Actor,15
Rajkummar Rao,Actor,14
Keith David,Actor,14
Abhishek Bachchan,Actor,14
Samuel L. Jackson,Actor,14
Adam Sandler,Actor,14
Grey Delisle,Actor,14
Murali Sharma,Actor,14
Terry Jones,Actor,14
Shahid Kapoor,Actor,14
Mike Smith,Actor,14
John Paul Tremblay,Actor,14
Robb Wells,Actor,14
Sanjay Dutt,Actor,14
Saif Ali Khan,Actor,14
Rikiya Koyama,Actor,14
Ashleigh Ball,Actor,14
Snoop Dogg,Actor,13
Katrina Kaif,Actor,13
Keanu Reeves,Actor,13
Frank Welker,Actor,13
Mamoru Miyano,Actor,13
Keegan-Michael Key,Actor,13
Jackie Sandler,Actor,13
Koichi Yamadera,Actor,13
Terry Gilliam,Actor,13
Rishi Kapoor,Actor,13
Mithun Chakraborty,Actor,13
Brijendra Kala,Actor,13
Hochu Otsuka,Actor,13
Maya Rudolph,Actor,13
Sanjay Mishra,Actor,13
Barack Obama,Actor,13
Ron Funches,Actor,13
Tiffany Haddish,Actor,13
Dee Bradley Baker,Actor,12
Kevin Hart,Actor,12
Ranbir Kapoor,Actor,12
Pedro Casablanc,Actor,12
Pankaj Tripathi,Actor,12
Maria Bamford,Actor,12
Helena Bonham Carter,Actor,12
Tinnu Anand,Actor,12
Anil Kapoor,Actor,12
Gulshan Grover,Actor,12
Juhi Chawla,Actor,12
Hiroaki Hirata,Actor,12
Brian Drummond,Actor,12
Danny Trejo,Actor,12
Hiroshi Kamiya,Actor,12
Tara Strong,Actor,12
Patton Oswalt,Actor,12
Natasha Lyonne,Actor,12
Takehito Koyasu,Actor,12
Kana Hanazawa,Actor,12
Yoshimasa Hosoya,Actor,12
Andrea Libman,Actor,12
Jun Fukuyama,Actor,12
Natsuki Hanae,Actor,12
Joross Gamboa,Actor,11
Fortune Feimster,Actor,11
Luis Tosar,Actor,11
Chris Rock,Actor,11
Arjun Rampal,Actor,11
Aditi Rao Hydari,Actor,11
Deepika Padukone,Actor,11
Ramsey Nouah,Actor,11
Will Forte,Actor,11
Kappei Yamaguchi,Actor,11
Toshiyuki Morikawa,Actor,11
Rajesh Sharma,Actor,11
Frank Grillo,Actor,11
Vir Das,Actor,11
Ian James Corlett,Actor,11
Rob Schneider,Actor,11
Salman Khan,Actor,11
Satish Shah,Actor,11
Akio Otsuka,Actor,11
Graham Chapman,Actor,11
Ken Jeong,Actor,11
Michael Jai White,Actor,11
Kathryn Bernardo,Actor,11
Kay Kay Menon,Actor,11
Sonam Kapoor,Actor,11
Romi Park,Actor,11
Irrfan Khan,Actor,11
Minako Kotobuki,Actor,11
Jeff Dunham,Actor,11
Radhika Apte,Actor,11
Lee Kyung-Young,Actor,11
Dean Norris,Actor,11
Chris Parnell,Actor,11
Paul Rudd,Actor,11
Saori Hayami,Actor,11
Daisuke Ono,Actor,11
Erin Mathews,Actor,11
Bayoumi Fouad,Actor,11
Kim Mi-Kyeong,Actor,11
Bruce Willis,Actor,10
Manoj Bajpayee,Actor,10
Lam Suet,Actor,10
Konkona Sen Sharma,Actor,10
Raghubir Yadav,Actor,10
Yogi Babu,Actor,10
Carlos Alazraqui,Actor,10
Manoj Pahwa,Actor,10
Jesse Plemons,Actor,10
Antonio Banderas,Actor,10
Suniel Shetty,Actor,10
Kevin James,Actor,10
Taapsee Pannu,Actor,10
Megumi Hayashibara,Actor,10
Hrithik Roshan,Actor,10
Tom Kenny,Actor,10
Dalip Tahil,Actor,10
Rajpal Yadav,Actor,10
Kajol,Actor,10
Robert De Niro,Actor,10
Vidya Balan,Actor,10
Vijay Raaz,Actor,10
Kazuhiko Inoue,Actor,10
Tabu,Actor,10
Terry Crews,Actor,10
Sadie Sandler,Actor,10
Jane Fonda,Actor,10
Tusshar Kapoor,Actor,10
Marc Maron,Actor,10
Scott Adkins,Actor,10
Mike Epps,Actor,10
Aoi Yuki,Actor,10
Matt Walsh,Actor,10
Álvaro Cervantes,Actor,10
Fumiko Orikasa,Actor,10
Andrew Bachelor,Actor,10
Katsuyuki Konishi,Actor,10
Haruka Tomatsu,Actor,10
Michelle Buteau,Actor,10
Dave Chappelle,Actor,10
Miyuki Sawashiro,Actor,10
Michela Luci,Actor,10
Ai Kayano,Actor,10
Sathyaraj,Actor,9
Blossom Chukwujekwu,Actor,9
Brett Gelman,Actor,9
Rashida Jones,Actor,9
Loretta Devine,Actor,9
Nana Patekar,Actor,9
Darshan Jariwala,Actor,9
Dia Mirza,Actor,9
Louis Koo,Actor,9
Prakash Raj,Actor,9
Allen Covert,Actor,9
Viola Davis,Actor,9
Joe Chrest,Actor,9
Lee Tockar,Actor,9
R. Madhavan,Actor,9
Vanessa Hudgens,Actor,9
Laurence Fishburne,Actor,9
Shin-Ichiro Miki,Actor,9
Sheeba Chaddha,Actor,9
Jared Sandler,Actor,9
Mohnish Behl,Actor,9
Wesley Snipes,Actor,9
Bryan Cranston,Actor,9
Manisha Koirala,Actor,9
Saurabh Shukla,Actor,9
Liam Neeson,Actor,9
Johnny Depp,Actor,9
Adil Hussain,Actor,9
Kazuki Yao,Actor,9
Kazuya Nakai,Actor,9
Ikue Otani,Actor,9
Lee Nicholas Harris,Actor,9
P.J. Byrne,Actor,9
Michael Papajohn,Actor,9
Alessandro Juliani,Actor,9
Rosario Dawson,Actor,9
Emile Hirsch,Actor,9
Steve Buscemi,Actor,9
Daniel Padilla,Actor,9
Mahesh Manjrekar,Actor,9
Kangana Ranaut,Actor,9
Sung Dong-Il,Actor,9
Junko Takeuchi,Actor,9
Kentaro Ito,Actor,9
Chie Nakamura,Actor,9
Jason Schwartzman,Actor,9
Manoj Joshi,Actor,9
Kulbhushan Kharbanda,Actor,9
Neil Patrick Harris,Actor,9
Koji Yusa,Actor,9
Mariya Ise,Actor,9
