name,role,appearances
Raúl Campos,Director,21
Jan Suter,Director,20
Jay Karas,Director,16
Marcus Raboy,Director,15
Ryan Polito,Director,13
Cathy Garcia-Molina,Director,12
Jay Chapman,Director,12
Youssef Chahine,Director,11
Justin G. Dyck,Director,9
Umesh Mehra,Director,8
Troy Miller,Director,8
Suhas Kadav,Director,8
Kunle Afolayan,Director,8
Anurag Kashyap,Director,8
Shannon Hartman,Director,7
Lance Bangs,Director,7
Fernando Ayllón,Director,7
Mani Ratnam,Director,6
Zoya Akhtar,Director,6
Steven Brill,Director,6
Don Michael Paul,Director,6
Ashutosh Gowariker,Director,6
Mae Cruz-Alviar,Director,6
Milan Luthria,Director,6
Karan Johar,Director,6
Song Hyun-Wook,Director,6
Wilson Yip,Director,5
Ryoo Seung-Wan,Director,5
Dennis Dugan,Director,5
Dibakar Banerjee,Director,5
Kayode Kasum,Director,5
Shaun Paul Piccinino,Director,5
Jeff Tremaine,Director,5
Spike Lee,Director,5
Michihito Fujii,Director,5
Rajiv Mehra,Director,5
Antoinette Jadaone,Director,5
Mike Clattenburg,Director,5
Tim Burton,Director,5
Vishal Bhardwaj,Director,5
Imtiaz Ali,Director,5
Mahdi Fleifel,Director,5
Yılmaz Erdoğan,Director,5
Rajiv Chilaka,Director,5
Michael Simon,Director,5
Maroun Bagdadi,Director,5
Hiroyuki Seshita,Director,5
Anurag Basu,Director,5
Rocky Soraya,Director,5
Manny Rodriguez,Director,5
Shigeaki Kubo,Director,5
Leslie Small,Director,5
Hong Jong-Chan,Director,5
Chris Smith,Director,4
Prakash Jha,Director,4
Mark Waters,Director,4
Vikramaditya Motwane,Director,4
Bo Burnham,Director,4
Paul Dugdale,Director,4
Toshiya Shinohara,Director,4
Ozan Açıktan,Director,4
Clay Glen,Director,4
Abhishek Chaubey,Director,4
Orlando Von Einsiedel,Director,4
Stan Lathan,Director,4
Rob Reiner,Director,4
Kristian Mercado,Director,4
Niyi Akinmolayan,Director,4
Sooraj Barjatya,Director,4
Antoine Fuqua,Director,4
Mike Flanagan,Director,4
Hakan Algul,Director,4
Mcg,Director,4
Qaushiq Mukherjee,Director,4
Hernán Zin,Director,4
Savage Steve Holland,Director,4
Christopher Storer,Director,4
Rohit Shetty,Director,4
Ava Duvernay,Director,4
Ribhu Dasgupta,Director,4
Hanung Bramantyo,Director,4
Abbas Alibhai Burmawalla,Director,4
Mastan Alibhai Burmawalla,Director,4
Abhishek Kapoor,Director,4
Farhan Akhtar,Director,4
Martin Scorsese,Director,4
Philippe Aractingi,Director,4
Todd Phillips,Director,4
Cristina Jacob,Director,4
Vince Marcello,Director,4
Julia Reichert,Director,4
Steven Bognar,Director,4
Jun Robles Lana,Director,4
Jesse V. Johnson,Director,4
Ernie Barbarash,Director,4
Lynn Shelton,Director,4
Michael Mckay,Director,4
Bruno Garotti,Director,4
Lucas Margutti,Director,4
Alex Woo,Director,4
Stanley Moore,Director,4
Blair Simmons,Director,4
Jung Jee-Hyun,Director,4
Hardik Mehta,Director,3
Lekh Tandon,Director,3
Andaç Haznedaroğlu,Director,3
Shakun Batra,Director,3
Mark Raso,Director,3
Manolo Caro,Director,3
Mahesh Bhatt,Director,3
Kim Joo-Hyung,Director,3
Marcos Bucay,Director,3
James Mangold,Director,3
Moses Inwang,Director,3
Jon Shenk,Director,3
Patrick Brice,Director,3
Roger Kumble,Director,3
Barry Gonzalez,Director,3
Sachin Kundalkar,Director,3
Mike Rohl,Director,3
Brian Klein,Director,3
Cem Yılmaz,Director,3
Rajkumar Santoshi,Director,3
Chris Howe,Director,3
Jota Linares,Director,3
Kenji Kamiyama,Director,3
Joel Coen,Director,3
Ethan Coen,Director,3
Yoshiyuki Tomino,Director,3
Sundar C,Director,3
Ian Macnaughton,Director,3
Ken Ghosh,Director,3
James Wan,Director,3
Andrew Lau,Director,3
Aziz Mirza,Director,3
Rajkumar Hirani,Director,3
Takashi Yamazaki,Director,3
Ryuichi Yagi,Director,3
Robert Rodriguez,Director,3
Wenn V. Deramas,Director,3
Hwang Dong-Hyuk,Director,3
Rakeysh Omprakash Mehra,Director,3
Masahiko Murata,Director,3
Sebastián Schindel,Director,3
Petra Costa,Director,3
Yasmin Ahmad,Director,3
Guy Ritchie,Director,3
Ram Gopal Varma,Director,3
Robb Wells,Director,3
Mike Smith,Director,3
John Paul Tremblay,Director,3
Olivia M. Lamasan,Director,3
Priyadarshan,Director,3
Vikas Bahl,Director,3
Steven Soderbergh,Director,3
Michael Tiddes,Director,3
Raj Kumar Gupta,Director,3
Tony Giglio,Director,3
David Fincher,Director,3
Raja Gosnell,Director,3
Toshiyuki Kubooka,Director,3
Brad Anderson,Director,3
Seth Barrish,Director,3
Susan Youssef,Director,3
Abhinay Deo,Director,3
David Dhawan,Director,3
Zack Snyder,Director,3
Bejoy Nambiar,Director,3
Michael Showalter,Director,3
Kıvanç Baruönü,Director,3
Mai Masri,Director,3
Kenneth Gyang,Director,3
Theodore Boborol,Director,3
G.J. Echternkamp,Director,3
Dan Villegas,Director,3
Isaac Florentine,Director,3
Rhys Thomas,Director,3
Martin Campbell,Director,3
Michael John Warren,Director,3
Timo Tjahjanto,Director,3
Joe Berlinger,Director,3
Gastón Duprat,Director,3
Alexandre Lehmann,Director,3
Fernando González Molina,Director,3
Bobcat Goldthwait,Director,3
Michael D. Black,Director,3
Kief Davidson,Director,3
Gerardo Olivares,Director,3
Mikhail Red,Director,3
Kobun Shizuno,Director,3
Edward Cotterill,Director,3
Robert Vince,Director,3
Noriyuki Abe,Director,3
Elaine Mcmillion Sheldon,Director,3
Conrad Helten,Director,3
Edwin,Director,3
David E. Talbert,Director,3
Fajar Bustomi,Director,3
Pidi Baiq,Director,3
Sachin Yardi,Director,3
Oliver Stone,Director,3
Rako Prijanto,Director,3
Daniel Calparsoro,Director,3
Tyler Spindel,Director,3
Vlad Yudin,Director,3
Adrian Teh,Director,3
Chanda Bell,Director,3
Matías Gueilburt,Director,3
A. L. Vijay,Director,3
Linda Mendoza,Director,3
Leigh Janiak,Director,3
Keishi Ōtomo,Director,3
Brian Volk-Weiss,Director,3
Dani De La Orden,Director,3
Fu-Chun Hsu,Director,3
Kim Won-Seok,Director,3
Kim Jin-Min,Director,3
Chun Chieh Liu,Director,3
Kim Kyu-Tae,Director,3
Christian Schwochow,Director,2
Latif Faiziyev,Director,2
Luiz Bolognesi,Director,2
Mary Lambert,Director,2
Seyi Babatope,Director,2
Shyam Benegal,Director,2
Ketche,Director,2
Amy Poehler,Director,2
Adam Randall,Director,2
Theodore Melfi,Director,2
Daniel Monzón,Director,2
Victor Vũ,Director,2
Neeraj Ghaywan,Director,2
Shashank Khaitan,Director,2
Kagiso Lediga,Director,2
Adam Mckay,Director,2
Adriano Rudiman,Director,2
Mar Targarona,Director,2
Alexis Morante,Director,2
Jayan Moodley,Director,2
Tommy Wirkola,Director,2
Suzanne Coote,Director,2
Matt Angel,Director,2
Leste Chen,Director,2
Chuck Vinson,Director,2
Daniel Sandu,Director,2
Fred Ouro Preto,Director,2
Barbra Streisand,Director,2
Dany Boon,Director,2
Floyd Russ,Director,2
Piotr Domalewski,Director,2
Charlie Mcdowell,Director,2
Thomas Sieben,Director,2
Stephen Herek,Director,2
Chapman Way,Director,2
Maclain Way,Director,2
Ashwiny Iyer Tiwari,Director,2
Veronica Velasco,Director,2
Nora Fingscheidt,Director,2
Pedro Kos,Director,2
Chung Mong-Hong,Director,2
K. S. Ravikumar,Director,2
Kyohei Ishiguro,Director,2
Bartosz M. Kowalski,Director,2
Ben Simms,Director,2
Erin Lee Carr,Director,2
Mehdi Idir,Director,2
Elia Suleiman,Director,2
Gabriel Nuncio,Director,2
Izu Ojukwu,Director,2
Guillaume Nicloux,Director,2
Nathan Frankowski,Director,2
Marla Ancheta,Director,2
Jon Garaño,Director,2
Aitor Arregi,Director,2
Harshavardhan Kulkarni,Director,2
Monika Mitchell,Director,2
Rob Minkoff,Director,2
Marcos Carnevale,Director,2
Aziz Ansari,Director,2
Nelson Dilipkumar,Director,2
Robert Townsend,Director,2
Tyler Perry,Director,2
Onur Bilgetay,Director,2
Nahnatchka Khan,Director,2
José Gómez,Director,2
Bruno Ascenzo,Director,2
Luke Sewell,Director,2
Rahul Rawail,Director,2
Alison Klayman,Director,2
Anna Wieczur-Bluszcz,Director,2
Sebastian Dinatale,Director,2
Paco Caballero,Director,2
Guillermo Del Toro,Director,2
Barbara Bialowas,Director,2
Tomasz Mandes,Director,2
Shinji Aramaki,Director,2
Mark A.Z. Dippé,Director,2
Pedro Flores Maldonado,Director,2
Terry Jones,Director,2
Chris Bould,Director,2
Umesh Shukla,Director,2
Michael Mann,Director,2
John Lee Hancock,Director,2
Dean Deblois,Director,2
Thomas Carter,Director,2
Angelina Jolie,Director,2
Sarah Gavron,Director,2
S.S. Rajamouli,Director,2
Marcus Nispel,Director,2
Brandon Camp,Director,2
Matthew Ross,Director,2
Quentin Tarantino,Director,2
Kevin Munroe,Director,2
Peter Hutchings,Director,2
Ciarán Foy,Director,2
Edward Zwick,Director,2
David Ayer,Director,2
Jon M. Chu,Director,2
Renzil D'Silva,Director,2
Tate Taylor,Director,2
Nikkhil Advani,Director,2
Diego Lerman,Director,2
Greg Barker,Director,2
Hasan Karacadag,Director,2
Kingsley Ogoro,Director,2
Liz Garbus,Director,2
Ross Kauffman,Director,2
Vinil Mathew,Director,2
Eric Idle,Director,2
Aubrey Powell,Director,2
Luis Estrada,Director,2
Satish Rajwade,Director,2
Dan Gilroy,Director,2
Keegan Kuhn,Director,2
Yoshitomo Yonetani,Director,2
Ellen Brown,Director,2
Peter Lepeniotis,Director,2
Najwa Najjar,Director,2
N. Linguswamy,Director,2
Alonso Ruizpalacios,Director,2
Indra Kumar,Director,2
Shashanka Ghosh,Director,2
Thiru,Director,2
Ruel S. Bayani,Director,2
Todd Strauss-Schulson,Director,2
Rob Zombie,Director,2
Amr Salama,Director,2
Michael Drumm,Director,2
Johnnie To,Director,2
Matt Askem,Director,2
Tigmanshu Dhulia,Director,2
Robert Luketic,Director,2
Dito Montiel,Director,2
Ted Emery,Director,2
Spike Jonze,Director,2
Brian Helgeland,Director,2
J.C. Chandor,Director,2
Steven Spielberg,Director,2
Alex Gibney,Director,2
Mikael Håfström,Director,2
Bobby Farrelly,Director,2
Peter Farrelly,Director,2
Neeraj Pandey,Director,2
Ron Howard,Director,2
Punit Malhotra,Director,2
Selçuk Aydemir,Director,2
Nitesh Tiwari,Director,2
Satyajit Bhatkal,Director,2
Werner Herzog,Director,2
Eduardo Chauvet,Director,2
Debbie Allen,Director,2
Sudhir Mishra,Director,2
Remo D'Souza,Director,2
Renny Harlin,Director,2
Jehane Noujaim,Director,2
Kris Pearn,Director,2
Albert Hughes,Director,2
Allen Hughes,Director,2
Ketan Mehta,Director,2
Walter Hill,Director,2
Mike Newell,Director,2
Paul Verhoeven,Director,2
Rajiv Menon,Director,2
Andrew Niccol,Director,2
Hannah Fidell,Director,2
Roland Emmerich,Director,2
Tom Hooper,Director,2
John Asher,Director,2
Steven C. Miller,Director,2
Bill D'Elia,Director,2
Nima Nourizadeh,Director,2
Maite Alberdi,Director,2
Antonio Campos,Director,2
Ric Roman Waugh,Director,2
Liam O'Donnell,Director,2
James Wong,Director,2
Everardo González,Director,2
Nishikant Kamat,Director,2
Susan Johnson,Director,2
Walter C. Miller,Director,2
Kabir Khan,Director,2
Ricky Gervais,Director,2
John Whitesell,Director,2
Mir-Jean Bou Chaaya,Director,2
Jerrold Tarog,Director,2
Morgan Neville,Director,2
Burak Aksak,Director,2
Sofia Coppola,Director,2
Ian Edelman,Director,2
Christopher Nolan,Director,2
Joyce E. Bernal,Director,2
J.D. Dillard,Director,2
Bonni Cohen,Director,2
Rami Hachache,Director,2
David Michôd,Director,2
Rza,Director,2
Felix Starck,Director,2
Sam Wrench,Director,2
Pablo Larraín,Director,2
Matt D'Avella,Director,2
Jalil Lespert,Director,2
Michèle Ohayon,Director,2
David Mackenzie,Director,2
Christopher Guest,Director,2
Joe Demaio,Director,2
Noah Baumbach,Director,2
Joe Wright,Director,2
Mohit Suri,Director,2
Detlev Buck,Director,2
Mariano Cohn,Director,2
Eduardo Roy Jr.,Director,2
Soumendra Padhi,Director,2
Upi Avianto,Director,2
Salvador Calvo,Director,2
Joe Swanberg,Director,2
Pawan Kumar,Director,2
Şenol Sönmez,Director,2
Daniel Emeke Oriahi,Director,2
Oriol Paulo,Director,2
Anthony Giordano,Director,2
Jason Paul Laxamana,Director,2
Oz Rodriguez,Director,2
Maryo J. De Los Reyes,Director,2
Gil Kenan,Director,2
Wael Ehsan,Director,2
Shunsuke Tada,Director,2
Alain Desrochers,Director,2
Akiva Schaffer,Director,2
Scott Aukerman,Director,2
Sydney Freeland,Director,2
Annemarie Jacir,Director,2
Neal Brennan,Director,2
Nicole Holofcener,Director,2
Dee Rees,Director,2
David Paul Meyer,Director,2
Esteban Crespo,Director,2
Mohamed Ali,Director,2
Amy Schumer,Director,2
Andrea Molaioli,Director,2
Jeff Orlowski,Director,2
Paco Plaza,Director,2
Paul Thomas Anderson,Director,2
Aaron Sorkin,Director,2
Kevin Bray,Director,2
Yeon Sang-Ho,Director,2
A.R. Murugadoss,Director,2
Zak Hilditch,Director,2
Motonori Sakakibara,Director,2
Kyle Newacheck,Director,2
Jeffrey Walker,Director,2
Bert Marcus,Director,2
Scott Moran,Director,2
Anees Bazmee,Director,2
Chris Robinson,Director,2
Abhishek Sharma,Director,2
Marcelo Galvão,Director,2
Daniel Gray Longino,Director,2
Olivier Marchal,Director,2
Will Yapp,Director,2
Cal Seville,Director,2
Shanker Raman,Director,2
Darren Grant,Director,2
Paul Greengrass,Director,2
Ibrahim Bin Mohamed,Director,2
Bedran Güzel,Director,2
Paul Solet,Director,2
Kim Hong-Sun,Director,2
Shaad Ali,Director,2
Shirley Frimpong-Manso,Director,2
Hajime Kamegaki,Director,2
Thomas Astruc,Director,2
Obi Emelonye,Director,2
Sara Colangelo,Director,2
Jordan Riber,Director,2
Peter Orton,Director,2
Maïa Sandoz,Director,2
Tarun Mansukhani,Director,2
Miguel Arteta,Director,2
Jake Szymanski,Director,2
Anand Tiwari,Director,2
Tsuyoshi Nakakuki,Director,2
Alejandro Montiel,Director,2
Yoshiyuki Momose,Director,2
Walter Taylaur,Director,2
Ian Cheney,Director,2
Alex Timbers,Director,2
Claire Scanlon,Director,2
Mag Hsu,Director,2
Chih-Yen Hsu,Director,2
Ulises Valencia,Director,2
Park Hoon-Jung,Director,2
Madeleine Parry,Director,2
Scott Zabielski,Director,2
Steve Paley,Director,2
Rano Karno,Director,2
Ivan Ayr,Director,2
Ahmed Nader Galal,Director,2
Billy Corben,Director,2
Venkatesh Maha,Director,2
John Schultz,Director,2
Ravi Babu,Director,2
Brett Haley,Director,2
Tom Donahue,Director,2
Julián Hernández,Director,2
Madhur Bhandarkar,Director,2
Damien O'Connor,Director,2
Paul Miller,Director,2
Stanley Nelson,Director,2
Marek Losey,Director,2
Brian Oakes,Director,2
Khaled Marei,Director,2
Jonathan A. Rosenbaum,Director,2
Jaime P. Habac Jr.,Director,2
Karthik Subbaraj,Director,2
Kan Eguchi,Director,2
Tom Stern,Director,2
Michael Fimognari,Director,2
Francesco Imperato,Director,2
Nadia Hallgren,Director,2
Shankar,Director,2
Mysskin,Director,2
Peter Berg,Director,2
Ziad Doueiri,Director,2
Apoorva Lakhia,Director,2
Reema Kagti,Director,2
Ole Bornedal,Director,2
Ahmed Zain,Director,2
Farah Khan,Director,2
Bernie Denk,Director,2
Mehmet Ada Öztekin,Director,2
Peter Sullivan,Director,2
Andibachtiar Yusuf,Director,2
Diego Pignataro,Director,2
Barry Avrich,Director,2
Kenny Leon,Director,2
Angga Dwimas Sasongko,Director,2
Dianna Basso,Director,2
César Rodrigues,Director,2
Sion Sono,Director,2
Mana Yasuda,Director,2
Drea Cooper,Director,2
Zackary Canepari,Director,2
Mike Gunther,Director,2
Jeethu Joseph,Director,2
Yuki Tanada,Director,2
Malik Nejer,Director,2
Halitha Shameem,Director,2
Vir Das,Director,2
Alex Diaz,Director,2
Alex Minton,Director,2
Sanjay Leela Bhansali,Director,2
Funke Akindele,Director,2
Mark Thornton,Director,2
Todd Kauffman,Director,2
Julien Leclercq,Director,2
Neville Shah,Director,2
Olivier Megaton,Director,2
Gaspar Antillo,Director,2
Fabio Ock,Director,2
Florent Bodin,Director,2
Caroline Suh,Director,2
Gary Andrews,Director,2
Deepa Mehta,Director,2
Danish Aslam,Director,2
Claudio Norza,Director,2
Seiji Kishi,Director,2
Jérome Mouscadet,Director,2
Hayato Date,Director,2
Patrick Graham,Director,2
Cha Young-Hoon,Director,2
Kim Jin-Won,Director,2
Lee Yoon-Jung,Director,2
Lee Jung-Hyo,Director,2
Lee Sang-Yeob,Director,2
Kim Seong-Yoon,Director,2
Park Shin-Woo,Director,2
Lee Eung-Bok,Director,2
유제원,Director,2
Ahn Gil-Ho,Director,2
Tsai Yueh-Hsun,Director,2
Kim Hee-Won,Director,2
Han Dong-Hwa,Director,2
Oleg Kuzovkov,Director,2
Kim Sok-Yun,Director,2
Lee Tae-Gon,Director,2
Chiaki Kon,Director,2
Jorge Torregrossa,Director,2
Lucía Alemany,Director,2
Hiroaki Matsuyama,Director,2
Emre Sahin,Director,2
Shin Won-Ho,Director,2
Lam Yuk Fan,Director,2
Chen Ming Zhang,Director,2
Oh Jin-Seok,Director,2
Nicolas Le Nevé,Director,2
Park Joon-Hwa,Director,2
Yusuke Ishida,Director,2
Andrew Baird,Director,1
Saron Sakina,Director,1
Filip Zylber,Director,1
Zhao Ji,Director,1
Hamisha Daryani Ahuja,Director,1
Radha Krishna Kumar,Director,1
Ryuichi Hiroki,Director,1
Emmett Malloy,Director,1
Aleksey Tsitsilin,Director,1
Chen-Hao Yin,Director,1
Max Jabs,Director,1
David Yarovesky,Director,1
Joe Guidry,Director,1
Han Kwang-Il,Director,1
Vitor Brandt,Director,1
Castille Landon,Director,1
Stanley D'Costa,Director,1
Chinaza Onuzo,Director,1
Kim Seong-Hun,Director,1
Ryan Crego,Director,1
Icíar Bollaín,Director,1
Daria Bukvic,Director,1
Kevin Smith,Director,1
Álvaro Fernández Armero,Director,1
Neil Labute,Director,1
Tosin Igho,Director,1
Peter Flinth,Director,1
Muzi Mthembu,Director,1
Letizia Lamartire,Director,1
Travon Free,Director,1
Martin Desmond Roe,Director,1
Hadrah Daeng Ratu,Director,1
Ali Tabrizi,Director,1
Tim Fehlbaum,Director,1
Ahishor Solomon,Director,1
Ben Falcone,Director,1
Sarah Noah,Director,1
Anna Elizabeth James,Director,1
Luciana Kaplan,Director,1
Claire Knight,Director,1
Harry Cripps,Director,1
Ajay Bhupathi,Director,1
Salah Abu Seif,Director,1
Roy Chow Hin-Yeung,Director,1
Santhosh Viswanath,Director,1
Samuel Bayer,Director,1
Sylvie Verheyde,Director,1
Martin Prakkat,Director,1
Raj Mehta,Director,1
Kayoze Irani,Director,1
Tushar Jalota,Director,1
Peter Thorwarth,Director,1
Delsar,Director,1
Ricky Ko,Director,1
Siva,Director,1
Christine Luby,Director,1
Naseef Yusuf Izuddin,Director,1
Marie Clements,Director,1
Anusha Rizvi,Director,1
Cecilia Verheyden,Director,1
Madonne Ashwin,Director,1
Srinath Rajendran,Director,1
Fredrick Munk,Director,1
Mike Hostench,Director,1
Marwan Nabil,Director,1
Nadine Ibrahim,Director,1
Vijay Lalwani,Director,1
Cassi Simonds,Director,1
Pedro Antônio,Director,1
Ram Madhvani,Director,1
Steve Rolston,Director,1
Sk Dale,Director,1
Tone Grøttjord-Glenne,Director,1
Tarzan Nasser,Director,1
Arab Nasser,Director,1
Donovan Marsh,Director,1
Kaashvie Nair,Director,1
Ricardo Trogi,Director,1
Helena Bergström,Director,1
Steven K. Tsuchida,Director,1
Iban Del Campo,Director,1
Adze Ugah,Director,1
Leandro Neri,Director,1
Ferdinando Cito Filomarino,Director,1
David Charhon,Director,1
Matt Thompson,Director,1
Paween Purijitpanya,Director,1
Kim Gatewood,Director,1
Laura Fairrie,Director,1
Matthew Ogens,Director,1
Praveen Kandregula,Director,1
Daniel Vernon,Director,1
Peter Chelsom,Director,1
Simone Godano,Director,1
Gulistan Mirzaei,Director,1
Elizabeth Mirzaei,Director,1
Shantrelle P. Lewis,Director,1
Easy Ferrer,Director,1
Jose Javier Reyes,Director,1
Jon Clay,Director,1
Samuel Olatunji,Director,1
Dave Rosenbaum,Director,1
Eamonn Butler,Director,1
Tània Balló,Director,1
John Madden,Director,1
Ekene Som Mekwunye,Director,1
Paolo Strippoli,Director,1
Roberto De Feo,Director,1
Pascal Atuma,Director,1
Julio Quintana,Director,1
Jaume Balagueró,Director,1
Cedric Nicolas-Troyan,Director,1
Myriam Fares,Director,1
Patrick Forbes,Director,1
Matthias Schweighöfer,Director,1
Suzanne Joe Kai,Director,1
Louis C.K.,Director,1
Juuso Syrjä,Director,1
Lukasz Grzegorzek,Director,1
Piotr Mularuk,Director,1
Daniel Farrands,Director,1
Sam Mendes,Director,1
Thabang Moleya,Director,1
Filip Hillesland,Director,1
Mateusz Motyka,Director,1
Veronica Andersson,Director,1
Maciej Ślesicki,Director,1
Julian Gaviria,Director,1
Dan Rush,Director,1
Clare Lewins,Director,1
Adam Salky,Director,1
Achille Brice,Director,1
Jörn Donner,Director,1
Adam Berg,Director,1
Manuel Alcalá,Director,1
Paul Weitz,Director,1
Adirek Wattaleela,Director,1
Thanabodee Uawithya,Director,1
Apirak Samudkitpaisan,Director,1
Sita Likitvanichkul,Director,1
Jetarin Ratanaserikiat,Director,1
Wan Chi-Man,Director,1
Christopher Ashley,Director,1
Delhi Prasad Deenadayal,Director,1
Jameel Buari,Director,1
Daniel Markowicz,Director,1
Akay Mason,Director,1
Abosi Ogba,Director,1
Femi D. Ogunsanwo,Director,1
Miguel Alexandre,Director,1
Tolulope Itegboje,Director,1
Magnus Martens,Director,1
Sharan Koppisetty,Director,1
Shammi Kapoor,Director,1
Laxman Utekar,Director,1
Robert Longo,Director,1
Eva Müller,Director,1
Peter Winther,Director,1
Steve Yamamoto,Director,1
Peter Sollett,Director,1
Manuele Mandolesi,Director,1
Michael Harte,Director,1
Joshua Rofé,Director,1
Maggie Gyllenhaal,Director,1
David Benullo,Director,1
