title,type,release_year,imdb_score
Khawatir,Show,2005,9.6
Abtalks,Show,2018,9.6
Breaking Bad,Show,2008,9.5
Our Planet,Show,2019,9.3
Kota Factory,Show,2019,9.3
Avatar: The Last Airbender,Show,2005,9.3
My Mister,Show,2018,9.2
Reply 1988,Show,2015,9.2
Who Rules The World,Show,2022,9.2
Arcane,Show,2021,9.1
The Last Dance,Show,2020,9.1
Chhota Bheem & Krishna In Mayanagari,Movie,2011,9.0
"Raja, Rasoi Aur Anya Kahaniyaan",Show,2014,9.0
No Longer Kids,Movie,1979,9.0
David Attenborough: A Life On Our Planet,Movie,2020,9.0
C/O Kancharapalem,Movie,2018,9.0
Hunter X Hunter,Show,2011,9.0
Death Note,Show,2006,9.0
Leah Remini: Scientology And The Aftermath,Show,2016,9.0
Attack On Titan,Show,2013,9.0
Okupas,Show,2000,9.0
Crazy Delicious,Show,2017,8.9
Cowboy Bebop,Show,1998,8.9
Heartstopper,Show,2022,8.9
Still Game,Show,2002,8.9
When They See Us,Show,2019,8.9
Seinfeld,Show,1989,8.9
Navillera,Show,2021,8.8
Sky Tour: The Movie,Movie,2020,8.8
Forrest Gump,Movie,1994,8.8
Inception,Movie,2010,8.8
Chappelle'S Show,Show,2003,8.8
One Piece,Show,1999,8.8
Monty Python'S Flying Circus,Show,1969,8.8
The Untamed,Show,2019,8.8
Hospital Playlist,Show,2020,8.8
Bojack Horseman,Show,2014,8.8
Better Call Saul,Show,2015,8.8
Narcos,Show,2015,8.8
Peaky Blinders,Show,2013,8.8
Black Mirror,Show,2011,8.8
Stories By Rabindranath Tagore,Show,2015,8.8
Storybots Super Songs,Show,2016,8.8
Greatest Events Of Wwii In Colour,Show,2019,8.7
Dave Chappelle,Show,2017,8.7
Rubaru Roshni,Movie,2019,8.7
Anbe Sivam,Movie,2003,8.7
Bye Bye London,Movie,1982,8.7
A Lion In The House,Movie,2006,8.7
Bo Burnham: Inside,Movie,2021,8.7
Tear Along The Dotted Line,Show,2021,8.7
Code Geass: Lelouch Of The Rebellion,Show,2006,8.7
Friday Night Lights,Show,2006,8.7
Stranger Things,Show,2016,8.7
Downton Abbey,Show,2010,8.7
Twenty Five Twenty One,Show,2022,8.7
Anne With An E,Show,2017,8.7
Demon Slayer: Kimetsu No Yaiba,Show,2019,8.7
Arrested Development,Show,2003,8.7
Lenox Hill,Show,2020,8.7
House Of Cards,Show,2013,8.7
The Crown,Show,2016,8.7
Dark,Show,2017,8.7
Vientos De Agua,Show,2006,8.7
Mr. Sunshine,Show,2018,8.7
One-Punch Man,Show,2015,8.7
Puffin Rock,Show,2015,8.7
Chhota Bheem And The Shinobi Secret,Movie,2013,8.6
Chhota Bheem & Krishna Vs Zimbara,Movie,2013,8.6
Moving Art,Show,2014,8.6
Norm Macdonald Has A Show,Show,2018,8.6
"Best Wishes, Warmest Regards: A Schitt'S Creek Farewell",Movie,2020,8.6
